Date,Comments
2021-03-22 16:31,"It will be interesting if, as many others are reporting, that after vaccination, these disturbing post-Covid symptoms may resolve. My sister had been plagued by some difficult problems after she was ill with the virus, and about a month after her second vaccination she started to note she was feeling better overall.  Let's hope this trend continues for many others."
2021-03-22 16:31,"I hope that you can make a full recovery.  How scary this must all be for you and your family.  Glad you were able to get help.  Keep on with therapy and meds and yes, if the house is what is setting you off, moving will help.

Best of luck to you and your family."
2021-03-22 16:32,"Thank you for sharing this story. You and your family are brave souls, Mr. Agerton. May peace come your way soon. And my gratitude for the medical community who are willing to recognize this and work toward finding solutions. May you all be well."
2021-03-22 16:33,"Wondering whether at this point a few weeks of controlled deep breathing exercises (inhale for four counts, hold breath for four, exhale for seven or eight, repeat) would help tamp down hyper-anxiety and other nervous system irregularities, as it has for other post-covid ""long-haul"" patients.  If the psychosis resulted from micro-clots, oxygen depletion and/or abnormal CO2 levels, might such exercises restore or heal the brain?

Others who've had long-term serious symptoms after ""mild"" Covid have improved after being vaccinated. Worth a try?"
2021-03-22 16:34,In reality this type of outcome is not unusual in people with a variety of immunity driven systemic reactions. I’m not sure why this is constantly framed in terms of Covid rather than immunological responses to novel antigens.
2021-03-22 16:34,I wonder how other virus could affect our mental health.  I had idiopathic cardiomyopathy which my doctor said could have been caused by a virus and that was over 30 years ago.  My ef  is still around 40% and no symptoms other than fatigue.  So much we don't know.
2021-03-22 16:36,"Thank you for your story. 
It is critical for anti-vaxxer to hear these accounts from people who are experiencing such devastating after effects from the virus.

So in a few cases, those who were ""long haulers"" have reported some relief after taking the vaccine."
2021-03-22 16:37,"Sounds exactly like an ongoing bad trip - full of overwhelming paranoia and anxiety, and where you know somehow that it's not real, but it feels real. Different from classical psychosis, where you're completely unaware that it's not real. This, for me - having experience in this - was a terrifying read. I hope he, and others like him, find something lasting, more than the respites described here."
2021-03-22 16:41,"All my best wishes to Mr. Agerton and his family.  There are few things more terrifying than feeling that you are losing your mind - and being aware of it.

Though infrequent, such experiences should remind all those who remain nonchalant about the virus (see Florida, Texas) that it can damage you even after you think you’ve recovered from COVID.  I don’t know whether anyone has ever experienced anything similar after a flu."
2021-03-22 16:42,This is a frightening account. I wonder about the degree of surety about this condition being an after-effect of the virus. Have all potential external environmental exposures been ruled out? The complexity of these correlations is mind-boggling -- no pun intended.
