Date,Comments
2020-08-20 0:18,Let’s just hope that Mr. Helpful-in-Chief doesn’t find out before the medicos do! Seriously!
2020-08-20 14:27,I am curious about broadly neutralizing antibodies which I have heard discussed by leading infectious disease researchers. I hope the NYT science writers follow up on this novel method of harnessing a patient's own immune system.
2020-08-20 14:38,"Fasting, either intermittent or extended, also reduces inflammation and can prevent cytokine storms. Is anyone looking into layering fasting over current therapies?"
2020-08-20 5:19,"I am disappointed and dismayed that the most promising therapeutic, Leronlimab, is not part of any federally supported trials. Leronlimab is an immune modulator, a monoclonal antibody which blocks CCR5 receptors on a range of immune cells, such as macrophages, eosinophils and t-lymphocytes. Blocking CCR5 prevents the movement of these cells to areas of inflammation, stopping the runway inflammatory cascade of the cytokine storm. 

Leronlimab reduced disease progression in moderate covid patients, with 50% of Leronlimab treated patients showing improvement, versus 20% in placebo, p=0.02

Leronlimab is awaiting Emergency Use Authorization by the FDA and Fast Track designation by the UK regulatory authorities. With approval, this can bridge the gap until effective vaccines are developed, manufactured and distributed widely."
2020-08-20 9:39,"We need to avoid the Trumpian hype with these new drugs and interventions. Let the physicians and researchers test their hypotheses without making a media spectacle out of every preliminary find.

Yes, drug discovery and best treatment protocols take time to develop, and be established, and this virus ain’t goin’ nowhere fast.

In the meantime we must mask up, social distance, and watch what surfaces you touch. We must realize that there will be an end to this crisis... although a little help from the US government would be nice."
2020-08-20 11:54,"Let’s take stock here. 

On one hand you have remdesivir. A patented drug, owned and marketed by Gilead, which showed NO mortality benefit but quickly gained emergency authorization from FDA. 

On the other, yesterday we hear about the rejection of emergency authorization for convalescent plasma, which has shown to be safe in over 200K patients, has shown efficacy in early non-randomized trials, but is not intellectual property and owned by no one. 

Hum what do you think explains this disparate behavior from FDA?$$$"
2020-08-20 17:20,"Please note that the trial is known as ACTT (Adaptive COVID-19 Treatment Trial) and not ACCT, as listed in the fifth paragraph."
2020-08-20 10:15,Testing the efficacy of a Medical treatment using sound scientific methods. Let's hope that this continues without interference from Donald Trump.
2020-08-20 16:18,"""In a large clinical trial, sponsored by the National Institutes of Health, remdesivir was shown to modestly shorten recovery time, by four days, on average, but it did not reduce deaths.""

But it *did* reduce deaths. This is scientifically illiterate coverage. Deaths fell by about 30% in the remdesivir treatment group, vs. the control. This decline barely missed the arbitrary p=.05 cut-off, at p=.06 (that is, there is a 6% chance such a decline in mortality could have been random chance as opposed to a 5% chance that it was due to chance). 

If a study to be unable to determine if a 30% decline in mortality is due to random chance, according to the (arbitrary) p=.05 standpoint it suggests that the study was too small, not that the drug is ineffective.  

This is very bad journalism, and disservice to readers who should know that there are drugs out there that have significant benefits to mortality."
2020-08-21 8:54,Hi New York Times community- Sorry to send this text so late but my daughter just called me tonight to tell me her grandpa just died of Covid 19.  I just got off the phone with her.  She is inconsolable. He died alone- I'm talking to her paternal family right now and they are heartbroken. So sad. Trump must be held accountable.
2020-08-24 13:39,"Health literacy - an idea whose time has come! The public doesn't need to believe farfetched ideas about health. Folks don't need to be scientists to understand and critically review unsubstantiated claims about benefits of products. Simple message: include health literacy in science classes; reinforce the learning process with public health messaging and via social media. ""No evidence of benefit? No proof there's no harm? Reject claims that can't be proven."" Don't we already do this in the realm of commerce?"
2020-08-24 15:44,"Viruses are obligate intracellular parasites. They are absolutely dependent on cell functions for their replication. Covid-19 codes for 29 proteins, meaning there are potentially 29 virus specific drug targets. The human cell codes for about 25,000 proteins meaning there are potentially 25,000 cellular targets.  In most cases where a chemical compound appears to be active in tissue culture against a virus, it is statistically far more likely that compound in question is attacking a cellular target than a viral target. It follows that when antiviral activity is discovered in tissue, while it may be interesting, it is a very long way from being an antiviral drug."
