Date,Comments
2021-06-15 10:33,"If asymptomatic patients experience long term health effects, the concern arises that patients who get covid-19 even after they've been vaccinated might be at risk for long term problems.

The number of people who get covid-19 after immunization is small, and it will get smaller as immunization of our population slows viral spread.  Moreover, vaccinated people who get covid-19 usually have mild disease or no acute symptoms.  But if mild disease can lead to long term problems in unvaccinated people, we need to know if vaccination protects against long term effects, which can be serious."
2021-06-15 10:35,Why exactly was there no control group of people who did not get covid in this study? Wouldn't that be easy to do if they already had access to insurance records? Why would any good scientific study opt to not have a control group when one could easily have been added? Seems suspicious to me as a scientist.
2021-06-15 10:37,"""Post-Covid health problems were common even among people who had not gotten sick from the virus at all, the study found.""

Perhaps the medical issues aren't being caused the virus itself, but rather by the societal response which has affected every aspect of our lives for the worse."
2021-06-15 10:48,"Just one more reason not to resume a so called normal lifestyle, not yet. Just learn about the ACE2 receptor, it’s function and the damage that this virus causes. It is metabolic, that’s why the obese were hit so hard. I won’t get on a plane or any other incubator of disease until cases are extremely rare."
2021-06-15 10:57,"The absence of a control group is a major limitation.  How many people complain of nerve or muscle pain, fatigue or memory loss everyday, pre-Covid, in my clinic? The majority."
2021-06-15 10:58,If there’s no mechanistic explanation for how all these symptoms are caused by mild COVID infections then linking all theses conditions to COVID totally unfounded. If random viral infections can have all these long-term effects how do we know these symptoms aren’t caused by some other asymptomatic viral infection?
2021-06-15 11:00,The lack of control group in this study is a weak link and makes the results borderline suspect.  Seems more like pro vaccination psy-ops.  And that’s coming from someone who opted for the vaccine.
2021-06-15 11:05,"Am I wrong, or do older Americans have a 3% increase per year of high blood pressure, high cholesterol, and aches and pains, even without Covid? This phenomenon is troubling as it relates to young people, but the numbers in the article seem skewed."
2021-06-15 11:05,"This is the reason I got the vaccine. Death is easy. I know so many ""COVID-19 is like the flu"" people, who got it and are still suffering. 

How can you have a moderate case three months ago and still are only at 50 percent baseline? That's frightening."
2021-06-15 11:05,Yet more compelling evidence that everyone needs to get vaccinated. Not that more is actually needed.
2021-06-15 11:07,"Correlation is not causation. But I think I am always going to wonder — and am never going to know — if my 77-year-old mother’s asymptomatic Covid in early November had anything to do with her utterly shocking massive brain hemorrhage in early March of this year. She was previously fit, healthy, and active, with no history of high blood pressure, and yet that is the only explanation her puzzled doctors have been able to come up with. Every time I mention her (truly asymptomatic) Covid, I am dismissed—but I do wonder if she is yet another casualty of the virus or if it’s just a coincidence. My mother never sought care after her quarantine ended, because she felt just fine; then her stroke happened right before she would have seen her doctor for her annual. If we had known that newly high blood pressure can be an effect of asymptomatic Covid, perhaps she would have gone to see her doctor earlier, or else her doctor would have urged her to come in to be evaluated. That kind of second-guessing is too painful for me to continue, but I offer this for anyone else whose senior parent(s) had a case of the virus: have them get a routine checkup without delay, just in case."
2021-06-15 11:09,"I wish someone would investigate whether these people with long-term health problems are suffering from an under diagnosed autoimmune illness called mast cell activation syndrome (MCAS). A chronic illness that can be set off by infections and viruses such as COVID-19.
It’s an underreported illness that affects multiple systems in the body. Many of us are￼ suffering from this, and histamine intolerance, a related multi-system illness, but can’t be diagnosed because it’s under the￼ radar of many mainstream doctors. There are few tests for it, and it’s often only identified by taking a careful patient history. Indeed, relies on patient self-reporting."
2021-06-15 11:11,"I appreciate this article. My wife’s (40 years old, vigorously exercises) cholesterol which was previously absolutely normal, has spiked after suffering from the virus. I’m anxious to read further about the link between cholesterol and long-haul survivors of Coronavirus."
2021-06-15 11:13,Were these symptoms also experienced by people who survived the 1918 pandemic?
2021-06-15 11:13,"“Their most common new health problems were pain, including in nerves and muscles; breathing difficulties; high cholesterol; malaise and fatigue; and high blood pressure. Other issues included intestinal symptoms; migraines; skin problems; heart abnormalities; sleep disorders; and mental health conditions like anxiety and depression.”

These are also symptoms of living with Stanley Kowalski as President."
