Date,Comments
2021-04-29 14:44,"The media, opposition parties, and host of interests arrayed against the Modi administration railed against the lockdowns last year.  While it caused much economic pain, it did manage to contain the pandemic.  Especially, given India’s poor health infrastructure, that was perhaps the best option.  Beginning of this year, both the politicians and the people dropped their guard and now face unprecedented misery.  It is useful lesson to keep in mind even as the anti-Modi brigade has begun using this tragedy to achieve their political and cultural goals to neutralize Modi and the rising acknowledgment that India is a Vedic civilization, just as I am constantly reminded here that America is a so called Judeo-Christian one."
2021-04-29 14:52,"We must IMMEDIATELY ban all incoming flights from India until we know what this is.  

This may be a brand new pandemic and risks setting our country back to zero.

I hope Biden understands the gravity of this.  We MUST ban all travel from India from all avenues."
2021-04-29 14:54,India is keeping case and death count lower than it is for political reasons. The stories are horribly sad although the US has reported much higher numbers all along and no one had much to say. I think India’s 200k is similar to China’s numbers...simply false.
2021-04-29 16:55,"In a family if one member is tested positive, the rest of the members are presumed to be positive and not tested. And so that leads to a low number, even though the 350,000 is still a very high number. This is only the beginning and I am very sad to see this."
2021-04-29 17:16,"Despite the tragedy of poverty in India, there are numerous super rich people and corporations not paying their fair share of taxes, partly perhaps because the tax structure favors them. That needs to be changed, so that the demands of infrastructure and emergencies such as Covid can be dealt with more effectively. There is also a level of corruption that contributes to the problem. America and other countries should help, but countries have to reform their structures so that they can help themselves."
2021-04-29 16:09,"Don’t think most folks appreciate the danger this poses to our hard won, tenuous COVID progress. 

Everybody’s. Everywhere.

Hope they can get a handle on it. Likely to take years."
2021-04-29 16:13,"Unless the recalcitrant section of our population gets on board and takes the vaccine by summer, we could be looking at another variant surge. The media could do a lot to encourage people, which would be a welcome change from their overwrought coverage of the extremely rare side effects of the vaccines.

Perhaps reminding everyone of how smallpox was eradicated by a vaccine that had a fatality rate of one in a million - more than the J&J covid vaccine the news media turned into a disaster."
2021-04-29 17:16,Blame the variant but ultimately it’s the human population and it’s leadership at fault for consistently ignoring medical advice.
2021-04-29 18:05,"Not only the new variant there exist many ground for exponentially increasing number of cases in India like Mass gathering  during election, Religious Kumb fair, Cricket match ; low vaccination drive, shortage of logistics, human resources and infrastructure, lack of directional operational plan and last but not the least Corruption."
2021-04-29 18:38,"Time for health authorities to show that they can put poilics aside and can collaborate internationally. 

A complete, quick and public assessment of the current health crisis that is free of politics and speculation goes a long way in increasing public's confidence on the scientific progress we made in the last year. Let's work on a scenario that crisis in India today doesn't become a spreading crisis. Who knows. That increased public confidence that we have our act together this time, may even help with increased vaccinations here in US."
2021-04-29 14:49,Biden’s incompetence is resulting in millions of deaths in India and Pakistan. . The fault runs directly to his desk. Shameful India and Pakistan were not supplied with the vaccine in adequate numbers.
2021-04-29 15:52,"India is a nuclear power. It san launch satellites into space, has numerous jet fighters and ships in its military arsenal, yet it can't take care of its most important asset, its citizens.

Maybe, just maybe, idiot politicians will get off their high horse, god knows, maybe their high elephant, stop wasting tax revenues on all types of weapons systmes and make certain that every community has potable water, establish sanitation standards, make certain that their citizens have food and lodging, etc. 

This goes for all countries in the world but especially in relation to India as it has an educated middle class. Although with a stratified class structure that may be part of the problem."
2021-04-29 16:29,"> India Blames a Virus Variant

There is saying in Sanskrit which can be translated as ""as is the ruler, so are the people"". Lot of Indians living abroad are are mad at nytimes, wapo,  bbc for publishing pictures of  people suffering, cremations etc.,  criticizing as death-porn. It is sad that these folks can't escape from false pride even in the middle of a disaster. 

nytimes, wapo etc., did publish numerous pictures of refrigerated trucks full of bodies, burial grounds, senior care centers, people waiting in parking lots in despair in places like NYC, CA, Madrid, Italy, Brazil"
2021-04-29 17:52,"The elephant in the room is that _if_ this enormous upsurge in India is because of a new more deadly mutation, then it is a critical and serious blow to containing Covid.  More data is needed but it is very worrisome."
