Date,Comments
2020-11-30 17:32,"15 years ago I ceased construction work, and decreased my vitamin C intake from 3grams daily, to 1000mg. I immediately exhibited signs of cardiovascular disease, and also noted that sometimes (maybe once a week) when i rinsed my mouth at a sink, that the rinsewater was tinged pink.

8 years ago i learned that both symptoms were indicative of 
scurvy (vitamin C deficiency).

In primary school i was instructed that vitamin B is good for 'teeth and gums'.  Eight years ago i observed that a slightly loose tooth firmed up immediately upon taking some B vitamins.

When i got covid last winter/spring, my gums bled on a couple occasions.

Sooo:
Vitamin C very good for gums/bleeding gums, soft tissue.
Vitamin B great for loose teeth.

Vitamin B also seems to change the red skin tan back to brown/tan among imbibers."
2020-11-30 17:47,"It blows my mind that dental and vision care are not treated as medical care and are not covered my Medicare or the ACA. Like eating and seeing are optional.

Remember to wear your mask, kiddos. It's been a rough ride."
2020-11-30 19:39,"What,￼ the teeth in my mouth￼? I still got a set of good chompers in the front of my mouth but the molars are another story; two of the main ones have broken off, long long ago￼, The others are pretty ugly,with cavity fillings and in fact I’ve had the front eyeteeth removed when I was young and the gap still hasn’t filled quite yet but I have to find out how to chew Meats and things without biting the inside of my cheek with the sharp points that exist now so eating is kind of painful maybe I should get my teeth fixed (yeah $50,000 per tooth￼￼), Or quit eating which would solve my high blood sugar problem."
2020-11-30 21:16,consider the experience of patients post-interferon treatment. super high levels of inflammation seem to destroy teeth (along with whichever virus the body is trying to combat)
2020-11-30 21:28,"While I respect Dr. Li's call for openness to new presentations of disease after COVID, it has been my prior experience that it takes years, if not decades of periodontal disease and altered angiogenesis in a patient's gums to outright lose a tooth. It seems to me to be highly unlikely that COVID is to be implicated as the primary reason this article's subject has lost her tooth especially given her prior history of smoking. It is a common consequence of chronic smoking that a patient develops gum disease which, in it's advanced stages, presents with spontaneous tooth exfoliation. 

Of course this is my professional observation/opinion which is the lowest form of evidence and I would happily change my mind in the face of peer reviewed science."
2020-11-30 17:40,"Perhaps it's because so few went to the dentist after being frightened by hysterical reporting where even today ""cases"" are  reported as if they have any significant relevance to hospitalizations/deaths.  The lack of being healthy is an American trademark and a significant reason for so much ill effect among a mentally and physically diseased people."
2020-11-30 18:50,Yikes. This should make folks want to to wear masks!
2020-11-30 21:15,Are the long haulers still sick with Covid? Can they still pass it on to others? If not is it simply the body’s defense mechanism reacting to something no longer present? I’m not sure that I’ve seen the answer to this anywhere.
2020-11-30 20:07,"As a dentist I am very concerned about the misleading claims in this article.  While there is a chance that Covid 19 could contribute to dental problems it is false to say that it can cause tooth loss.  For a tooth to ""fall out"" it would require complete loss of the alveolar bone around the root of the tooth.  It would take many years of severe periodontal disease for this amount of bone loss to occur.  The ""evidence"" presented here is all anecdotal and in Ms. Khemili's case it was even noted that her dentist ""found that her gums were not infected but she had significant bone loss from when she used to smoke.""  

I fear this is another alarmist article that is light on scientific evidence."
2020-12-01 0:25,"Covid.  The gift that keeps on giving.  What else will we see in recovered patients 1, 5 ,10 years out?"
2020-12-01 2:47,"It might relate to the vitamin D processing in our body. The massive quarantine in this pandemic may have ruined our vitamin D consumption and lack of the sun light exposure.
Vitamin D is good for bones and it needs sunlight to process it."
2020-12-01 2:19,"As if I needed another reason to isolate until there's a vaccine available. Thank you, NYTimes."
