Date,Comments
2021-04-20 15:17,"The nomenclature is confusing an imprecise. Neurological symptoms ARE physical symptoms, though hallucinations and confusion are typically neuropsychiatric or purely psychiatric. It’s not surprising that these children needed more intensive care — their brains and nervous systems, which control everything else, were literally inflamed. Viral and post-viral (physical) neurological symptoms are much more common than our current research suggests. Accordingly, they are undertreated and ignored. I hope these children get the medical aftercare they need, as this will likely cause chronic symptoms and unexpected health effects through the lifespan."
2021-04-20 16:11,"I wonder if these children were left longer undiagnosed (since children are less likely to associate their issues with covid19 & less able to verbalize their condition)? And how are their lungs?  What share of those who developed symptoms of covid (or were found later to have gone through covid19 w/o symptoms) had harmed lungs? (I know we don't have lung scans for most people, maybe mostly those with asthma and other conditions. But it would be good to know.)"
2021-04-20 20:18,I wish they included the age spread of the children.  My kid is in prek.  It would be nice to know the level if risk.
2021-04-20 22:03,"To those adults able to get vaccinated, but who refuse:  how do you justify exposing children under 16, who are not yet able to get vaccinated, to this kind of risk?"
2021-04-20 13:24,"24 kids.  Please stop the panicky headlines. Put 24 kids in the headlines. Please. Our children need to be in school, and the NYT has not helped."
2021-04-20 22:10,"A study released yesterday by doctors at Columbia University showed that the virus itself isn't infecting the brain itself.  I wonder what is causing all the brain inflammation for these poor kids?  If not the virus, then by what mechanism?"
2021-04-20 18:37,What we don’t know is how asymptomatic infections will effect kids in the future. People are far too cavalier about kids and COVID19 just because they want them in school.
2021-04-20 18:01,"More evidence, as if we needed it, this virus must be taken very seriously. I get tired of hearing self-serving politicians and others say children are mostly immune from coronavirus. 

Covid doesn't care how old you are, whether you're male or female, what your race is, or where you come from. It's an equal opportunity destroyer."
2021-04-08 10:56,I assume Emmergent will be able to take a tax deduction for the loss of the contaminated vaccine.
2021-04-08 11:11,Something smells rotten here. Primarily understaffing is one issue which certainly must be resolved. How can employees work 70 hours a week in a factory which makes a vaccine? This isn’t a chicken factory here.
2021-04-08 11:53,"So, how effective are any vaccines coming out of Emergent plants? When there are serious problems leading to the contamination of millions of doses of vaccine it certainly leads one to suspect the quality of Emergent's work. I'd like to see an auditor's report on where government money is being spent at Emergent."
2021-04-08 11:50,Is this really surprising?  Everything in the states is nothing more than a blatant cash grab and it’s a race to the bottom.
2021-04-08 11:06,"It is crazy to me that an article on Biden’s tax plan has 427 mostly politically divided comments and this one has none.  This unfortunately is what happens when we over politicize government on both sides.  Everybody is so busy posturing, attacking and defending that no one is minding the store."
2021-04-08 11:13,"What a mess. It seems you can’t good help at the plant, but even worse, that the report fell on deaf 👂 ears in the government.  Now that the vaccines were contaminated and 15 million doses thrown out, is it any wonder that people are hesitant to get vaccinated?  Hardly.

Shame on the US.  this may be common in 3rd world countries, but again, this is the US.  The EU also seems to be tripping all over themselves, but seriously, all of a sudden, the Russians don’t look as scatterbrained as us. 

We need centralized military level control over vaccine protection.  We don’t need any more slip ups like this, or you’ll never get the unvaccinated to roll up their sleeves to do their part to stop 🛑 the spread.  🙄 SHEESH!"
2021-04-08 11:42,If the FDA budget wasn't gutted over the years...
2021-04-08 11:26,Emergent only exists because they pay a fortune in lobbying for an unnecessary anthrax vaccine and have bullied their way into primacy in this lucrative area via underhanded tactics and some would say outright lies. No surprise they can't deliver on such a huge task as this.
